,Time,Opening Price,High Price,Low Price,Closing Price,Volume
205,2019-04-30,242.06,244.21,237.0,238.69,9464628
206,2019-04-29,235.86,243.98,232.17,241.47,16714476
207,2019-04-26,246.5,246.68,231.13,235.14,22360709
208,2019-04-25,255.0,259.0,246.07,247.63,21849393
209,2019-04-24,263.85,265.32,258.0,258.66,10727454
210,2019-04-23,260.15,265.6,255.75,263.9,10943859
211,2019-04-22,269.0,269.68,262.48,262.75,12147141
212,2019-04-18,271.23,274.84,269.75,273.26,5876325
213,2019-04-17,274.75,274.79,268.535,271.23,5126468
214,2019-04-16,265.75,275.0,264.72,273.36,7272930
215,2019-04-15,268.63,268.88,258.63,266.38,10038579
216,2019-04-12,270.22,271.95,266.83,267.7,6745974
217,2019-04-11,268.3,270.5,265.6,268.42,9835927
218,2019-04-10,276.74,278.38,272.8925,276.06,7061314
219,2019-04-09,271.65,275.0,269.61,272.31,5904031
220,2019-04-08,277.69,281.16,270.44,273.2,10410436
221,2019-04-05,269.86,276.1,266.11,274.96,13038257
222,2019-04-04,261.89,271.2,260.59,267.78,23720729
223,2019-04-03,287.32,296.17,287.17,291.81,7929864
224,2019-04-02,288.3,289.44,283.88,285.88,5478940
225,2019-04-01,282.62,289.2,281.281,289.18,8110439
226,2019-03-29,278.7,280.16,274.5,279.86,5991338
227,2019-03-28,277.16,280.33,275.1,278.62,6774093
228,2019-03-27,268.75,275.37,268.1838,274.83,8779166
229,2019-03-26,264.44,270.26,264.43,267.77,7350948
230,2019-03-25,259.71,263.18,254.46,260.42,10215029
231,2019-03-22,272.58,272.8,264.0,264.53,8745609
232,2019-03-21,272.6,276.45,268.45,274.02,5947098
233,2019-03-20,269.69,274.97,266.3,273.6,6908224
234,2019-03-19,267.5,273.3,263.46,267.47,11800630
235,2019-03-18,276.0,278.05,267.3,269.49,10280980
236,2019-03-15,283.51,283.7244,274.4,275.43,14785531
237,2019-03-14,292.45,295.39,288.29,289.96,7103447
238,2019-03-13,283.9,291.99,282.7,288.96,6844719
239,2019-03-12,286.49,288.07,281.06,283.36,7504137
240,2019-03-11,283.52,291.28,280.5,290.92,7392278
241,2019-03-08,276.91,285.59,275.89,284.14,8819625
242,2019-03-07,278.84,284.7,274.25,276.59,9442483
243,2019-03-06,276.48,281.5058,274.39,276.24,10335485
244,2019-03-05,282.0,284.0,270.1,276.54,18764740
245,2019-03-04,298.12,299.0,282.78,285.36,17096818
246,2019-03-01,306.94,307.13,291.9,294.79,22911375
247,2019-02-28,318.92,320.0,310.81,319.88,10520653
248,2019-02-27,301.78,316.295,300.55,314.74,11183908
249,2019-02-26,292.22,302.01,288.7701,297.86,8582535
250,2019-02-25,297.91,302.9044,297.0005,298.77,6626522
251,2019-02-22,294.49,296.5,292.1,294.71,5740558
252,2019-02-21,301.81,303.2399,290.5,291.23,8909182
