,Time,Opening Price,High Price,Low Price,Closing Price,Volume
163,2019-06-28,1.26,1.26,1.21,1.24,2670888
164,2019-06-27,1.29,1.3,1.25,1.25,2266194
165,2019-06-26,1.21,1.29,1.195,1.28,3927394
166,2019-06-25,1.23,1.265,1.2,1.21,4842959
167,2019-06-24,1.21,1.24,1.18,1.22,2888225
168,2019-06-21,1.19,1.22,1.18,1.2,2494901
169,2019-06-20,1.24,1.27,1.2,1.2,4084909
170,2019-06-19,1.21,1.24,1.18,1.21,2230376
171,2019-06-18,1.21,1.25,1.2,1.21,3129585
172,2019-06-17,1.17,1.21,1.16,1.2,2200326
173,2019-06-14,1.21,1.21,1.135,1.17,4423161
174,2019-06-13,1.16,1.21,1.15,1.2,2462508
175,2019-06-12,1.22,1.23,1.15,1.15,3097588
176,2019-06-11,1.21,1.23,1.19,1.22,4295625
177,2019-06-10,1.22,1.24,1.19,1.19,2742148
178,2019-06-07,1.3,1.3,1.2,1.23,2877484
179,2019-06-06,1.24,1.26,1.23,1.25,1614170
180,2019-06-05,1.31,1.33,1.215,1.24,6582575
181,2019-06-04,1.26,1.33,1.25,1.3,6186147
182,2019-06-03,1.22,1.25,1.17,1.25,4071960
183,2019-05-31,1.15,1.22,1.14,1.2,6740495
184,2019-05-30,1.23,1.24,1.14,1.14,3682794
185,2019-05-29,1.15,1.25,1.14,1.22,5695072
186,2019-05-28,1.16,1.18,1.12,1.14,6567350
187,2019-05-24,1.18,1.21,1.145,1.16,3511534
188,2019-05-23,1.2,1.23,1.15,1.19,5502641
189,2019-05-22,1.25,1.2597,1.2,1.21,4666361
190,2019-05-21,1.28,1.29,1.25,1.25,9528166
191,2019-05-20,1.28,1.3,1.26,1.27,1573183
192,2019-05-17,1.31,1.32,1.2701,1.28,5430755
193,2019-05-16,1.4,1.4,1.295,1.32,6822668
194,2019-05-15,1.26,1.3,1.23,1.28,9369160
195,2019-05-14,1.34,1.34,1.23,1.31,23997938
196,2019-05-13,1.36,1.37,1.3,1.33,5240778
197,2019-05-10,1.37,1.3903,1.35,1.38,3196573
198,2019-05-09,1.4,1.41,1.35,1.39,6282047
199,2019-05-08,1.43,1.46,1.4,1.4,2790473
200,2019-05-07,1.44,1.445,1.41,1.44,5412815
201,2019-05-06,1.49,1.5,1.41,1.44,6521558
202,2019-05-03,1.44,1.53,1.44,1.52,5558128
203,2019-05-02,1.42,1.47,1.4089,1.44,4392995
204,2019-05-01,1.51,1.51,1.43,1.43,3462885
205,2019-04-30,1.5,1.52,1.495,1.5,3417336
206,2019-04-29,1.51,1.535,1.485,1.51,2214590
207,2019-04-26,1.58,1.6,1.49,1.49,3912861
208,2019-04-25,1.61,1.615,1.565,1.58,4712716
209,2019-04-24,1.58,1.635,1.57,1.62,3873715
210,2019-04-23,1.6,1.6,1.57,1.59,3217917
211,2019-04-22,1.58,1.61,1.57,1.61,2314319
212,2019-04-18,1.6,1.61,1.56,1.58,3188842
213,2019-04-17,1.59,1.64,1.58,1.6,3766054
214,2019-04-16,1.6,1.62,1.57,1.59,18227097
215,2019-04-15,1.61,1.63,1.58,1.6,5941798
216,2019-04-12,1.62,1.65,1.61,1.62,7037750
217,2019-04-11,1.67,1.68,1.6,1.61,2810415
218,2019-04-10,1.65,1.7,1.65,1.65,2836391
219,2019-04-09,1.69,1.695,1.62,1.67,5813582
220,2019-04-08,1.69,1.73,1.67,1.69,14477818
221,2019-04-05,1.77,1.77,1.67,1.69,4385548
222,2019-04-04,1.68,1.76,1.66,1.76,2044077
223,2019-04-03,1.7,1.72,1.645,1.68,2419264
224,2019-04-02,1.65,1.705,1.63,1.69,6809704
225,2019-04-01,1.68,1.72,1.63,1.65,4289578
226,2019-03-29,1.66,1.69,1.64,1.66,2803726
227,2019-03-28,1.64,1.6582,1.6,1.64,4757349
228,2019-03-27,1.68,1.69,1.635,1.64,5649970
229,2019-03-26,1.67,1.71,1.65,1.68,4071716
230,2019-03-25,1.66,1.6888,1.63,1.66,2176842
231,2019-03-22,1.73,1.73,1.64,1.65,4497523
232,2019-03-21,1.75,1.755,1.69,1.72,6963281
233,2019-03-20,1.75,1.76,1.68,1.74,6989999
234,2019-03-19,1.79,1.81,1.73,1.74,3349487
235,2019-03-18,1.73,1.81,1.71,1.77,4011162
236,2019-03-15,1.74,1.74,1.635,1.71,7603535
237,2019-03-14,1.7,1.74,1.6801,1.69,4376515
238,2019-03-13,1.69,1.74,1.6716,1.72,5104602
239,2019-03-12,1.68,1.7,1.61,1.68,6139506
240,2019-03-11,1.61,1.665,1.595,1.66,7278683
241,2019-03-08,1.63,1.63,1.54,1.59,5506492
242,2019-03-07,1.71,1.7305,1.615,1.62,8362834
243,2019-03-06,1.77,1.775,1.71,1.72,3993829
244,2019-03-05,1.81,1.8206,1.755,1.76,6831601
245,2019-03-04,1.77,1.84,1.74,1.81,7048877
246,2019-03-01,1.72,1.81,1.71,1.74,6512888
247,2019-02-28,1.79,1.83,1.68,1.71,8790778
248,2019-02-27,1.96,1.96,1.74,1.83,18062558
249,2019-02-26,2.07,2.125,2.04,2.1,5334308
250,2019-02-25,2.13,2.17,2.03,2.08,10747765
251,2019-02-22,1.91,2.165,1.9,2.12,13021517
252,2019-02-21,1.9,1.92,1.86,1.89,7088342
